page,name,rate,time,IP,favor,comment
1,虎虎生刺,4,2024/1/8 11:05,山东,309,上古《布里奇顿》，几对二代祖哥妹的联姻社交季（从此恐哥妹了……………薅，窝素相柳大人单推、、、檀老师非常好、、
1,影龙者,未知,2024/2/14 4:46,福建,87,弃剧：看到第三集，感觉这剧情和魔幻仙侠设定实在是没法入戏。
1,团小纸,5,2023/7/24 19:49,北京,21967,没什么特别能说的了，也找不到能评价的话了，谢谢檀健次演了相柳，谢谢。
1,Echo,未知,2023/8/2 22:36,日本,48,这个故事设定十分诡异。男一主要负责给女主提供物质保障和生命安全，男二主要负责给女主提供情感价值和陪伴功能，男三主要负责给女主加武力值和空档期解闷…男四主要为了烘托其他几个男人并且最后挂了。看似核心价值描述十分物化里面的女性角色（经常拿来做仕途交换）但实际上，作者本身也十分功能化每一个男性角色，导致了每一个角色行为动机和性格及其所在世界的世界观十分割裂。另外…嗯…这个故事有前传…黄晓明和宋茜演的《上古情歌》
1,几根佩毛,4,2024/1/15 1:01,四川,168,大制作大女主大IP剧。演员都是好演员没拉垮
1,大纠结师,4,2023/7/24 21:08,福建,7904,说出我一直都是一个人的小六好让人心疼，她的家早就在三百年前分崩离析了555
1,Jasmine_长乐,5,2023/8/15 16:28,广东,5265,真的很还原原著啊！张晚意演的玱玹，眼神戏真的很绝！
1,大脸喵,5,2023/8/27 15:16,辽宁,1028,天天在微博抖音刷，为了邓为，还充了一个月腾讯会员。一集不落，从第一集看到最后一集。非常还原小说，一看，编剧就是桐大本人。三大男主都是天选。璟就是太善良了，我希望你永远做清水镇的叶十七。相柳就是太重情意，还没长嘴，为小夭做了那么多事也不说，我更喜欢他做防风邶。表哥是我最不喜欢的，一开始没长眼认不出小夭，后来又看不清璟，如愿当了帝王又贪心想霸占小夭，气死。OST首首经典。丰隆是搞笑担当。杨紫挑剧本眼光没问题，希望你们仨别被王楚然祸祸了。
1,宇文宙,1,2024/2/12 8:29,广东,127,国产剧编剧的地下室之作。别说什么叙事和角色，就连最基本的情节连贯一致都做不到，数数看光是第一集就撕几次书了？国王两个儿子先后死亡，太后亲口盖章确认孙子是唯一男丁。一转场几个不知道哪里冒出来的野孩子居然敢欺负这个王位唯一继承人还骂他是没父没母的孤儿？我替您九族谢谢您嘞！等王孙长大成人，突然又凭空冒出几个没死的王叔争权，把这个唯一的王位继承人送去敌对国做质子？如果编剧你不知道质子是啥意思麻烦看看隔壁封神，虽然很多设定也乱来，但至少人家知道我有两个儿子才能送你一个，如果我只有一个，我也谢谢您嘞！
1,喷火国王小怪兽,4,2023/8/7 18:54,湖北,3557,怀念桐华的克制言情美学杨紫的男转台词太优秀了啃脖子这种。。。能播出来就是nb
